,Value,Rob. Std err,Rob. t-test,Rob. p-value
ASC_CAR,-4.848135672224197,0.35049536674842324,-13.832238974228915,0.0
ASC_TRAIN,-0.5475345715637824,0.08385887916436495,-6.529237893707171,6.6105121376836e-11
B_AGE_1,0.7756333252777486,0.2018960147598957,3.841746585241757,0.00012216192634406653
B_AGE_2,0.16111741176488556,0.05568405157991886,2.8934211357384196,0.003810699746849222
B_COST,-0.009325497172035747,0.00047899947465219003,-19.468700208506814,0.0
B_FIRST,-0.33790528840658585,0.07723676928716319,-4.374927790548406,1.2147268218409835e-05
B_HE,-0.006985372299828283,0.001035647460427443,-6.744932582507574,1.5309753464975984e-11
B_MALE,-0.28218280073387636,0.06590544086698658,-4.281631334556897,1.8552817205197414e-05
B_PURPOSE_1,-3.816299871112508,0.35792503630739253,-10.66228814414368,0.0
B_PURPOSE_2,-3.2422239839497013,0.3714454451581948,-8.728668035137359,0.0
B_PURPOSE_3,-4.5287997398277655,0.35272261700981894,-12.839550177474711,0.0
B_PURPOSE_4,-5.274692188250623,0.3524739168296987,-14.964773097803839,0.0
B_PURPOSE_5,4.699115209066228,0.49431191894680054,9.506376498220675,0.0
B_PURPOSE_6,-3.7195010980080188,0.48631556631342715,-7.64832827829086,2.042810365310288e-14
B_PURPOSE_7,-3.168158980655245,0.4984679868420353,-6.355792276103051,2.0735502204161094e-10
B_PURPOSE_8,2.411973407576386,0.49676603036814515,4.855350930072477,1.2017372972294993e-06
B_TIME,-0.01354607071384844,0.0007640804529480736,-17.7285921418134,0.0
