,Number of knots
_best_loss,71525.39810942845
_elapsed_time,15796.015089200002
_on_test_set,0.6730135829050383
_x_first,"[0.077, 0.025277778, 0.077, 0.006111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.077, 0.0, 0.000277778]"
_x_last,"[40.941, 9.278333333, 40.941, 3.051944444, 13.2, 1.058611111, 2.147222222, 0.837222222, 0.179166667, 1.383333333, 10.09, 40.941, 1.25, 2.060833333]"
_x_opt,"[ 1.08053525  9.58926742 12.18715534 18.77566224  0.68413995  1.88031045
  2.60496961  4.74691624  2.34345901  4.84894197  6.89593356 22.39515234
  0.24618922  0.64834379  1.40111286  2.01507092  2.21615384  2.20294092
  4.3463988   0.38193083  0.52512306  0.62834446  1.30687184  0.36636089
  0.45975494  0.49022663  0.52301442  0.56454161  0.60039288  0.06062728
  0.07005559  0.09181937  0.10739476  0.13864784  0.55654527  1.05661835
  4.45339224  6.22514744  6.89038592  7.41309518  2.76905243 20.06629679
  0.14205238  0.18919773  0.28266892  0.38874166  0.67877555  0.8662186
  0.26194342  0.91249985  1.40968899]"
cost_driving_fuel,5.0
cost_transit,3.0
distance_0,5.0
distance_1,5.0
distance_3,3.0
driving_traffic_percent,7.0
dur_cycling,6.0
dur_driving,4.0
dur_pt_access,3.0
dur_pt_bus,3.0
dur_pt_int_waiting,7.0
dur_pt_int_walking,6.0
dur_pt_rail,3.0
dur_walking,5.0
