,LightGBM,NN,DNN
_best_GMPCA,0.5289420781034864,0.5136533184823419,0.5130402816860891
_best_loss,0.6368763463067708,0.6662067187501726,0.6674009150888013
_elapsed_time,24882.1159684,28736.2610772,26343.336047999997
bagging_fraction,0.7204136136946723,,
bagging_freq,0.0,,
feature_fraction,0.6006806305838448,,
lambda_l1,0.0241553878088094,,
lambda_l2,0.0001229004548492,,
max_bin,237.0,,
min_data_in_leaf,156.0,,
min_gain_to_split,0.00073176123698,,
min_sum_hessian_in_leaf,1.4135905520169667,,
num_iterations,1493.0,,
num_leaves,16.0,,
activation,,0.0,
batch_size,,3.0,3.0
hidden_layer_sizes,,20.0,
learning_rate,,0.0,
learning_rate_init,,0.0907273009170416,
max_iter,,0.0,
solver,,1.0,
tol,,0.0,
depth,,,0.0
drop,,,1.0
epochs,,,90.0
input_dim,,,0.0
output_dim,,,0.0
width,,,1.0
