,Cross Entropy Loss,Accuracy,Time
50_1_0,0.6754404872966026,74.50246485737482,308.00129103660583
50_2_0,0.6786865072244271,74.76720833552021,458.90602946281433
50_3_0,0.6857728970753836,74.51159394264047,607.5243821144104
100_1_0,0.6750656315199494,74.46594851087083,492.45448541641235
100_2_0,0.705418860191887,73.94559064528707,845.9613285064697
100_3_0,0.7383433165005225,73.30655469301519,1202.310735464096
200_1_0,0.6750146387288098,74.48420669228486,836.4819192886353
200_2_0,0.7792730267212864,71.86415921560013,1734.0658774375916
200_3_0,0.8870818771453197,70.12050393530112,2637.3863112926483
0,0.6758556591130226,74.43856125507386,837.5807449817657
1,0.6606696682492594,75.29669527222211,837.2813541889191
2,0.6514303684452294,75.61398703660376,836.7015950679779
3,0.6433103635225581,75.44051859081254,836.2726683616638
4,0.6858390682017046,73.3655953207009,835.4493522644043
test,0.6827027166868054,74.16793313794585,1070.5946803092957
